zh	en	zh-TW	ja
SQLite 官方全文检索扩展，支持 bm25 相关度排序	Official SQLite full-text extension with bm25 ranking	SQLite 官方全文檢索擴充，支援 bm25 相關度排序	SQLite 公式の全文検索拡張、bm25 関連度順に対応
老一代全文检索扩展，Android 系统 SQLite 稳定内置	Older full-text extension, bundled stably in Android's SQLite	舊一代全文檢索擴充，Android 系統 SQLite 穩定內建	旧世代の全文検索拡張、Android の SQLite に安定して組み込まれています
LIKE 兜底	LIKE fallback	LIKE 備援	LIKE フォールバック
没有可用全文索引，退化为 LIKE 子串扫描	No full-text index available, falling back to a LIKE substring scan	沒有可用的全文索引，退化為 LIKE 子字串掃描	利用可能な全文インデックスがなく、LIKE の部分一致スキャンに降格
写入 FTS 索引失败（rowid=$noteId）: ${t.message}	Failed to write FTS index (rowid=$noteId): ${t.message}	寫入 FTS 索引失敗（rowid=$noteId）：${t.message}	FTS インデックスの書き込みに失敗（rowid=$noteId）：${t.message}
检索语句失败，尝试降级：${t.message}	Query failed, trying a fallback: ${t.message}	檢索語句失敗，嘗試降級：${t.message}	検索クエリに失敗、フォールバックを試行：${t.message}
未知	Unknown	未知	不明
尚未探测	Not probed yet	尚未偵測	未検出
清理不可用表后重建	Rebuilt	清理無法使用的表後重建	再構築
同名表不可用且删不掉，降级 LIKE	Table with the same name is unusable and cannot be dropped, falling back to LIKE	同名表無法使用且刪不掉，降級 LIKE	同名テーブルが利用できず削除もできないため、LIKE にフォールバック
沿用已有 ${existing.label} 索引	Reusing the existing ${existing.label} index	沿用現有的 ${existing.label} 索引	既存の ${existing.label} インデックスを再利用
新建	Created	新建	新規作成
$prefix ${engine.label} 索引	$prefix ${engine.label} index	$prefix ${engine.label} 索引	$prefix ${engine.label} インデックス
无可用全文引擎，降级 LIKE	No full-text engine available, falling back to LIKE	無可用的全文引擎，降級 LIKE	利用可能な全文エンジンがなく、LIKE にフォールバック
已有 $TABLE 不可用：${plain.exceptionOrNull()?.message}	Existing $TABLE unavailable: ${plain.exceptionOrNull()?.message}	現有 $TABLE 無法使用：${plain.exceptionOrNull()?.message}	既存の $TABLE が利用できません：${plain.exceptionOrNull()?.message}
已有 $TABLE 无法用于检索：${plain.exceptionOrNull()?.message}	Existing $TABLE cannot be used for search: ${plain.exceptionOrNull()?.message}	現有 $TABLE 無法用於檢索：${plain.exceptionOrNull()?.message}	既存の $TABLE は検索に使用できません：${plain.exceptionOrNull()?.message}
全文检索引擎 $module 不可用: ${t.message}	Full-text engine $module unavailable: ${t.message}	全文檢索引擎 $module 無法使用：${t.message}	全文検索エンジン $module を利用できません：${t.message}
建表失败 $name: ${t.message}	Failed to create table $name: ${t.message}	建表失敗 $name：${t.message}	テーブル $name の作成に失敗：${t.message}
